Kubikaža,Snaga,Prešao kilometara,Proveri kilometražu,Tip motora,Pogon,Menjač,Broj vrata,Broj sedišta,Strana volana,Klima,Boja,Kategorija,price,year,url,oprema,istorija,name,Broj brzina,Boja unutrašnjosti
1595 cm3,135 KS (99 KW),176000,,Euro 5,Prednji,manuelni,4/5,5,Leva,Automatska klima,bela,SUV_terensko,9.500 EUR,2012.,https://www.mojauto.rs/polovni-automobili/3238973_Kia_Sportage_2012_god/?cena=high,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'Kodiran ključ', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Tonirana stakla', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Radio', 'Alu felne', 'Putni računar', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Servisna knjižica': 'Da', 'Garancija': 'Da'}",Kia Sportage 1.6 BENZIN ,6,crna
1190 cm3,86 KS (63 KW),181000,,Euro 5,Prednji,manuelni,4/5,5,Leva,Automatska klima,teget,Hečbek,6.500 EUR,2013.,https://www.mojauto.rs/polovni-automobili/3238972_VW_golf_plus_2013_god/?cena=high,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'Kodiran ključ', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Tempomat', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Tonirana stakla', 'Maglenke', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Radio', 'Alu felne', 'Putni računar', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Servisna knjižica': 'Da', 'Garancija': 'Da'}",VW Golf plus 6+ 1.2 BENZIN ,5,crna
1596 cm3,95 KS (70 KW),186500,,Euro 5,Prednji,manuelni,4/5,5,Leva,Manuelna klima,bela,limuzina,5.800 EUR,2012.,https://www.mojauto.rs/polovni-automobili/3238969_Ford_Focus_2012_god/?cena=high,"['Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'ABS', 'Kodiran ključ', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Tonirana stakla', 'Maglenke', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Radio']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'Septembar 2024', 'Vozilo je korišćeno kao': 'lično', 'Kupljen nov u Srbiji': 'Da'}",Ford Focus  ,6,crna
1390 cm3,75 KS (55 KW),229000,,Euro 4,Prednji,manuelni,4/5,5,Leva,Manuelna klima,siva,Hečbek,2.740 EUR,2005.,https://www.mojauto.rs/polovni-automobili/3238960_VW_Polo_2005_god/?cena=low,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'ABS', 'ESP', 'Kodiran ključ', 'Centralna brava', 'Servo', 'Daljinsko zaključavanje', 'Električni podizači', 'Maglenke', 'Podesivi volan po visini', 'Podešavanje sedišta po visini', 'Radio', 'CD šaržer', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Garažiran': 'Da', 'Servisna knjižica': 'Da'}",VW Polo 1.4 benz ,5,plava
1997 cm3,136 KS (100 KW),250000,,,,,,,,,,karavan,1.600 EUR,2005.,https://www.mojauto.rs/polovni-automobili/3238954_Peugeot_407_2005_god/?cena=low,"['Air bag za vozača', 'Air bag za suvozača', 'Child lock', 'ESP', 'Centralna brava', 'Servo', 'Tempomat', 'Panorama krov', 'Daljinsko zaključavanje', 'Električni podizači', 'Senzori za kišu', 'Podesivi volan po visini', 'Radio', 'CD šaržer', 'Alu felne', 'Nije registrovan']","{'Zamena': 'Da', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično'}",Peugeot 407  ,,
1368 cm3,78 KS (57 KW),160000,,Euro 4,Prednji,manuelni,,5,Leva,,unutrašnjosti plava,Hečbek,2.600 EUR,2006.,https://www.mojauto.rs/polovni-automobili/3238950_Fiat_Grande_Punto_2006_god/?cena=low,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'ABS', 'Kodiran ključ', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Tonirana stakla', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da', 'Garažiran': 'Da'}",Fiat Grande Punto 1.4 ,5,
1600 cm3,87 KS (64 KW),248000,,Euro 1,Prednji,manuelni,4/5,5,Leva,Bez klime,siva,Hečbek,400 EUR,1989.,https://www.mojauto.rs/polovni-automobili/3185907_Toyota_Corolla_1989_god/?cena=low,"['Metalik', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično'}",Toyota Corolla xl ,5,siva
1598 cm3,105 KS (77 KW),237114,,Euro 5,Prednji,manuelni,4/5,5,Leva,Automatska klima,crna,Hečbek,5.380 EUR,2010.,https://www.mojauto.rs/polovni-automobili/3238941_VW_Polo_2010_god/?cena=high,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Tempomat', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Tonirana stakla', 'Xenon', 'Maglenke', 'Podesivi volan po visini', 'Radio', 'Alu felne', 'Putni računar']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'Jun 2025', 'Prvi vlasnik': 'Da', 'Garažiran': 'Da', 'Servisna knjižica': 'Da', 'Garancija': 'Da'}",VW Polo 1.6 TDI LUTKICAA ,5,ostalo
1400 cm3,75 KS (55 KW),123456,,,,,,,,,,Hečbek,1.000 EUR,2004.,https://www.mojauto.rs/polovni-automobili/3238938_Opel_Astra_2004_god/?cena=low,['Nije registrovan'],"{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne'}",Opel Astra OTKUP AUTOMOBILA!  ,,
1800 cm3,116 KS (85 KW),360000,,Euro 3,Prednji,manuelni,4/5,,Leva,,siva,karavan,1.000 EUR,2002.,https://www.mojauto.rs/polovni-automobili/3238921_Ford_Focus_2002_god/?cena=low,"['Air bag za vozača', 'ABS', 'Servo', 'Električni podizači']","{'Zamena': 'Da', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'Maj 2025', 'Vozilo je korišćeno kao': 'lično', 'Garažiran': 'Da'}",Ford Focus  ,5,
1598 cm3,112 KS (82 KW),120000,,Euro 5,Prednji,manuelni,4/5,5,Leva,Manuelna klima,siva,limuzina,5.800 EUR,2009.,https://www.mojauto.rs/polovni-automobili/3238914_Renault_Megane_2009_god/?cena=high,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'Alarm', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Mehanička zaštita', 'Isofix sedišta', 'Servo', 'Daljinsko zaključavanje', 'Električni podizači', 'Maglenke', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Radio', 'Putni računar']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'Novembar 2024', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da', 'Kupljen nov u Srbiji': 'Da', 'Servisna knjižica': 'Da'}",Renault Megane Expression ,5,siva
1368 cm3,78 KS (57 KW),132899,,Euro 6,Prednji,manuelni,4/5,2,Leva,Manuelna klima,bela,dostavno/pickup,6.490 EUR,2017.,https://www.mojauto.rs/polovni-automobili/3238833_Fiat_Fiorino_2017_god/?cena=high,"['Air bag za vozača', 'ABS', 'Alarm', 'Centralna brava', 'Servo', 'Multi volan', 'Krovni nosači', 'Daljinsko zaključavanje', 'Električni podizači', 'Maglenke', 'Parking senzori', 'Podesivi volan po visini', 'Radio', 'Navigacija GPS']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Registrovano do': 'Decembar 2024', 'Vozilo je korišćeno kao': 'lično', 'Servisna knjižica': 'Da'}",Fiat Fiorino  ,5,crna
999 cm3,95 KS (70 KW),160000,,Euro 6,Prednji,manuelni,4/5,5,Leva,Manuelna klima,žuta,Hečbek,9.000 EUR,2019.,https://www.mojauto.rs/polovni-automobili/3238819_Skoda_rapid_2019_god/?cena=high,"['Air bag za vozača', 'Air bag za suvozača', 'Centralna brava', 'Servo', 'Tempomat', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Maglenke', 'Podesivi volan po dubini', 'Radio']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'Mart 2025', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da', 'Kupljen nov u Srbiji': 'Da', 'Servisna knjižica': 'Da'}",Škoda Rapid 1.0 TSI ambience ,5,crna
1598 cm3,102 KS (75 KW),250000,,Euro 6,Zadnji,manuelni,2/3,4,Leva,Automatska klima,crna,coupe,8.000 EUR,2013.,https://www.mojauto.rs/polovni-automobili/3238770_BMW_114_2013_god/?cena=high,"['Air bag za vozača', 'ABS', 'Kodiran ključ', 'Centralna brava', 'Servo', 'Električni podizači', 'Tonirana stakla', 'Maglenke', 'Parking senzori', 'Grejači sedišta', 'Radio', 'Alu felne', 'Led svetla']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Registrovano do': 'Avgust 2024', 'Vozilo je korišćeno kao': 'lično', 'Garancija': 'Da'}",BMW 114 i ,6,crna
1100 cm3,60 KS (44 KW),60000,,Euro 3,Prednji,manuelni,2/3,5,Leva,Bez klime,plava,Hečbek,1.000 EUR,2005.,https://www.mojauto.rs/polovni-automobili/3238769_Yugo_Koral_In_2005_god/?cena=low,"['Alarm', 'Radio']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'Jun 2025', 'Vozilo je korišćeno kao': 'lično', 'Kupljen nov u Srbiji': 'Da'}",Yugo Koral In  ,5,plava
1598 cm3,95 KS (70 KW),214000,,Euro 6,Prednji,manuelni,4/5,5,Leva,Automatska klima,srebrna,Hečbek,8.500 EUR,2017.,https://www.mojauto.rs/polovni-automobili/3238764_Opel_Astra_2017_god/?cena=high,"['Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Tonirana stakla', 'Maglenke', 'Senzori za kišu', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'Električno podesiva sedišta', 'Grejači sedišta', 'DVD plejer', 'Radio', 'Navigacija GPS', 'Putni računar', 'Led svetla', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Da', 'Vozilo je korišćeno kao': 'lično', 'Garažiran': 'Da', 'Servisna knjižica': 'Da'}",Opel Astra K  ,6,crna
1598 cm3,105 KS (77 KW),250000,,Euro 3,Prednji,manuelni,2/3,5,Leva,Bez klime,crna,Hečbek,1.100 EUR,2003.,https://www.mojauto.rs/polovni-automobili/3238811_Alfa_Romeo_147_2003_god/?cena=low,['Nije registrovan'],"{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično'}","Alfa Romeo 147 1,6 ",5,crna
1600 cm3,105 KS (77 KW),220000,,Euro 5,Prednji,manuelni,2/3,5,Leva,Automatska klima,crna,limuzina,4.699 EUR,2010.,https://www.mojauto.rs/polovni-automobili/3238918_Seat_Ibiza_2010_god/?cena=low,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Servo', 'Multi volan', 'Tempomat', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Tonirana stakla', 'Maglenke', 'Senzori za svetla', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'Radio', 'HiFi muzika', 'Alu felne', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično'}",Seat Ibiza  ,5,crna
1242 cm3,60 KS (44 KW),172808,,Euro 5,Prednji,manuelni,4/5,5,Leva,Automatska klima,bela,Hečbek,4.450 EUR,2011.,https://www.mojauto.rs/polovni-automobili/3238789_Ford_Fiesta_2011_god/?cena=low,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni retrovizori', 'Grejači stakala', 'Tonirana stakla', 'Maglenke', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Radio', 'HiFi muzika', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično'}",Ford Fiesta  ,5,siva
1328 cm3,93 KS (68.6 KW),168000,,,Prednji,manuelni,4/5,5,Leva,Automatska klima,unutrašnjosti siva,Hečbek,2.600 EUR,2006.,https://www.mojauto.rs/polovni-automobili/3238777_Suzuki_Ignis_2006_god/?cena=low,"['Air bag za vozača', 'Air bag za suvozača', 'Mehanička zaštita', 'Električni podizači', 'Grejači stakala', 'Maglenke', 'Radio']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'Jun 2025', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da', 'Kupljen nov u Srbiji': 'Da'}",Suzuki Ignis  ,5,
1248 cm3,95 KS (70 KW),178523,,Euro 5,Prednji,manuelni,2/3,5,Leva,Automatska klima,siva,Hečbek,3.990 EUR,2011.,https://www.mojauto.rs/polovni-automobili/3238930_Opel_Corsa_2011_god/?cena=low,"['Metalik', 'Child lock', 'ABS', 'ESP', 'ASR', 'Alarm', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Mehanička zaštita', 'Servo', 'Multi volan', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Tonirana stakla', 'Maglenke', 'Senzori za svetla', 'Senzori za kišu', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'Radio', 'HiFi muzika', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da', 'Garažiran': 'Da', 'Garancija': 'Da'}",Opel Corsa 1.3 cdti ,5,siva
1995 cm3,150 KS (110 KW),150000,,Euro 4,4x4,manuelni,4/5,5,Leva,Automatska klima,siva,SUV_terensko,7.900 EUR,2008.,https://www.mojauto.rs/polovni-automobili/3225125_Renault_Koleos_2008_god/?cena=high,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Mehanička zaštita', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Krovni nosači', 'Koža', 'Šiber', 'Panorama krov', 'Grejači retrovizora', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Tonirana stakla', 'Xenon', 'Maglenke', 'Senzori za svetla', 'Senzori za kišu', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'Grejači sedišta', 'Radio', 'HiFi muzika', 'CD šaržer', 'Alu felne', 'Navigacija GPS', 'Putni računar']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'Oktobar 2024', 'Vozilo je korišćeno kao': 'lično'}",Renault Koleos 2.0 dci 16V 4x4 ,6,crna
1598 cm3,120 KS (88 KW),199456,,Euro 6,Prednji,automatski,4/5,5,Leva,Automatska klima,bela,karavan,7.588 EUR,2018.,https://www.mojauto.rs/polovni-automobili/3238915_Fiat_Tipo_2018_god/?cena=high,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Alarm', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Krovni nosači', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Tonirana stakla', 'Maglenke', 'Senzori za svetla', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'Radio', 'HiFi muzika', 'Alu felne', 'Navigacija GPS', 'Putni računar', 'Led svetla', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Garancija': 'Da'}",Fiat Tipo 1.6MJET ,8,crna
2143 cm3,190 KS (140 KW),114526,,Euro 6,Zadnji,automatski,4/5,5,Leva,Automatska klima,plava,SUV_terensko,31.900 EUR,2020.,https://www.mojauto.rs/polovni-automobili/3214207_Alfa_Romeo_stelvio_2020_god/?cena=high,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Koža', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Tonirana stakla', 'Xenon', 'Senzori za svetla', 'Senzori za kišu', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'Električno podesiva sedišta', 'Grejači sedišta', 'HiFi muzika', 'Alu felne', 'Navigacija GPS', 'Putni računar', 'Led svetla', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Servisna knjižica': 'Da', 'Garancija': 'Da'}",Alfa Romeo Stelvio 2.2 JTDM/SPRINT/AUT ,8,
1997 cm3,181 KS (133 KW),164269,,Euro 6,Prednji,automatski,4/5,5,Leva,Automatska klima,siva,Hečbek,15.490 EUR,2017.,https://www.mojauto.rs/polovni-automobili/3189456_Citroen_DS5_2017_god/?cena=high,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Koža', 'Panorama krov', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Tonirana stakla', 'Xenon', 'Maglenke', 'Senzori za svetla', 'Senzori za kišu', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'HiFi muzika', 'Alu felne', 'Navigacija GPS', 'Putni računar', 'Led svetla', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Servisna knjižica': 'Da', 'Garancija': 'Da'}",Citroen DS5 2.0 HDI/NAV/LED/PANO ,6,
,61 KS (45 KW),123311,,,,,,,,,,Hečbek,Dogovor,123.311,https://www.mojauto.rs/polovni-automobili/3170880_Fiat_127_1970_god/?cena=low,['Nije registrovan'],"{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne'}",Fiat 127  ,,
1798 cm3,150 KS (110 KW),103720,,,,manuelni,4/5,5,,,bela,SUV_terensko,8.800 EUR,2011.,https://www.mojauto.rs/polovni-automobili/3082841_Mitsubishi_ASX_2011_god/?cena=high,"['Air bag za vozača', 'ABS', 'ESP', 'ASR', 'Alarm', 'Centralna brava', 'Multi volan', 'Tempomat', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Senzori za kišu', 'Radio', 'Alu felne', 'Putni računar']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Da'}",Mitsubishi ASX  ,6,
1968 cm3,150 KS (110 KW),184218,,,,automatski,4/5,5,,,bela,limuzina,14.490 EUR,2016.,https://www.mojauto.rs/polovni-automobili/3082840_Skoda_Superb_2016_god/?cena=high,"['Air bag za vozača', 'ESP', 'Centralna brava', 'Isofix sedišta', 'Multi volan', 'Tempomat', 'Koža', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Senzori za svetla', 'Senzori za kišu', 'Električno podesiva sedišta', 'Grejači sedišta', 'Radio', 'Navigacija GPS', 'Putni računar', 'Led svetla']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Da'}",Škoda Superb  ,6,
1896 cm3,101 KS (74 KW),246096,,,,manuelni,4/5,5,,,plava,karavan,2.350 EUR,2003.,https://www.mojauto.rs/polovni-automobili/3082839_VW_Passat_2003_god/?cena=low,"['Air bag za vozača', 'ABS', 'ESP', 'Centralna brava', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači sedišta', 'Radio', 'CD šaržer', 'Putni računar']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Da'}",VW Passat  ,5,
1598 cm3,131 KS (96 KW),113000,,,,automatski,4/5,5,,,crvena,SUV_terensko,13.990 EUR,2016.,https://www.mojauto.rs/polovni-automobili/3082838_Nissan_Qashqai_2016_god/?cena=high,"['Air bag za vozača', 'ABS', 'ESP', 'ASR', 'Centralna brava', 'Isofix sedišta', 'Multi volan', 'Tempomat', 'Koža', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Senzori za svetla', 'Senzori za kišu', 'Parking senzori', 'Radio', 'Alu felne', 'Putni računar', 'Led svetla']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Da'}",Nissan Qashqai  ,,
1968 cm3,190 KS (140 KW),80200,,,,automatski,4/5,,,,crna,karavan,24.000 EUR,2017.,https://www.mojauto.rs/polovni-automobili/3082837_Skoda_Superb_2017_god/?cena=high,"['Air bag za vozača', 'ABS', 'ESP', 'ASR', 'Alarm', 'Centralna brava', 'Isofix sedišta', 'Multi volan', 'Tempomat', 'Koža', 'Kuka za vuču', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Senzori za svetla', 'Senzori za kišu', 'Parking senzori', 'Električno podesiva sedišta', 'Grejači sedišta', 'Radio', 'Alu felne', 'Navigacija GPS', 'Putni računar']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Da'}",Škoda Superb  ,6,
2967 cm3,262 KS (193 KW),83700,,,,automatski,4/5,,,,bela,SUV_terensko,33.000 EUR,2016.,https://www.mojauto.rs/polovni-automobili/3082836_VW_Touareg_2016_god/?cena=high,"['Air bag za vozača', 'ABS', 'ESP', 'ASR', 'Centralna brava', 'Isofix sedišta', 'Multi volan', 'Tempomat', 'Koža', 'Kuka za vuču', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Senzori za svetla', 'Senzori za kišu', 'Grejači sedišta', 'Radio', 'Alu felne', 'Navigacija GPS', 'Putni računar']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Da'}",VW Touareg  ,8,
1597 cm3,118 KS (87 KW),156521,,,,manuelni,4/5,5,,,bela,SUV_terensko,15.990 EUR,2017.,https://www.mojauto.rs/polovni-automobili/3082835_Honda_CR_V_2017_god/?cena=high,"['Air bag za vozača', 'ABS', 'ESP', 'ASR', 'Alarm', 'Centralna brava', 'Isofix sedišta', 'Multi volan', 'Tempomat', 'Koža', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Senzori za svetla', 'Senzori za kišu', 'Parking senzori', 'Grejači sedišta', 'Radio', 'CD šaržer', 'Alu felne', 'Navigacija GPS', 'Putni računar', 'Led svetla']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Da'}",Honda CR_V  ,6,
