Kubikaža,Snaga,Prešao kilometara,Proveri kilometražu,Tip motora,Pogon,Menjač,Broj vrata,Broj sedišta,Strana volana,Klima,Boja,Kategorija,price,year,url,oprema,istorija,name,Broj brzina,Boja unutrašnjosti
1100 cm3,54 KS (40 KW),92000,,Drugo,Prednji,manuelni,4/5,5,Leva,Bez klime,bež,Hečbek,3.500 EUR,1979.,https://www.mojauto.rs/polovni-automobili/3232814_Zastava_101_1979_god/?cena=low,"['Krovni nosači', 'Koža', 'Kuka za vuču', 'Nije registrovan']","{'Zamena': 'Da', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da', 'Kupljen nov u Srbiji': 'Da', 'Garažiran': 'Da'}",Zastava 101  ,5,crna
2000 cm3,116 KS (85 KW),288000,,Euro 3,Prednji,manuelni,4/5,7,Leva,,zelena,minibus/van,1.550 EUR,2001.,https://www.mojauto.rs/polovni-automobili/3216740_Hyundai_Trajet_2001_god/?cena=low,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Child lock', 'ABS', 'Blokada motora', 'Centralna brava', 'Servo', 'Multi volan', 'Kuka za vuču', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Tonirana stakla', 'Senzori za kišu', 'Podesivi volan po visini', 'Podešavanje sedišta po visini', 'Radio', 'HiFi muzika', 'Alu felne']","{'Zamena': 'Da', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Registrovano do': 'Avgust 2024', 'Vozilo je korišćeno kao': 'lično', 'Garažiran': 'Da', 'Servisna knjižica': 'Da', 'Garancija': 'Da'}",Hyundai Trajet  ,6,siva
1950 cm3,112 KS (82 KW),253000,,Euro 3,Prednji,manuelni,4/5,5,Leva,Manuelna klima,srebrna,SUV_terensko,4.100 EUR,2002.,https://www.mojauto.rs/polovni-automobili/3225409_Land_Rover_Freelander_2002_god/?cena=low,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'ABS', 'Alarm', 'Centralna brava', 'Servo', 'Krovni nosači', 'Koža', 'Električni podizači', 'Maglenke', 'Podesivi volan po visini', 'Radio', 'Alu felne']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'Septembar 2024', 'Vozilo je korišćeno kao': 'lično', 'Garažiran': 'Da'}",Land Rover Freelander 2.0 td4 ,5,crna
1596 cm3,105 KS (77 KW),222350,,Euro 4,Prednji,Poluautomatski,4/5,,,Manuelna klima,siva,limuzina,2.950 EUR,2007.,https://www.mojauto.rs/polovni-automobili/3240481_Opel_Meriva_2007_god/?cena=low,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'ABS', 'Servo', 'Kuka za vuču', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Maglenke', 'Parking senzori', 'HiFi muzika', 'Alu felne']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'Maj 2025'}",Opel Meriva 1.6.i.77KW. AUTOMATIK  ,5,
2179 cm3,155 KS (114 KW),287000,,Euro 4,Prednji,manuelni,4/5,5,Leva,Automatska klima,siva,limuzina,630 EUR,2004.,https://www.mojauto.rs/polovni-automobili/3240488_Opel_Vectra_2004_god/?cena=low,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Tonirana stakla', 'Maglenke', 'Senzori za svetla', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'Grejači sedišta', 'Radio', 'Alu felne', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne'}","Opel Vectra 2,2b ",5,
1108 cm3,46 KS (34 KW),155000,,Euro 2,Prednji,manuelni,4/5,5,Leva,Bez klime,svetlozelena,Hečbek,999 EUR,1991.,https://www.mojauto.rs/polovni-automobili/3234442_Renault_R_5_1991_god/?cena=low,"['Metalik', 'Kodiran ključ', 'Isofix sedišta', 'Električni podizači', 'Grejači stakala', 'Tonirana stakla']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'Maj 2025', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da', 'Kupljen nov u Srbiji': 'Da', 'Garažiran': 'Da', 'Servisna knjižica': 'Da'}","Renault R 5 1,1/BENZIN/PRVABOJA/VLASNIK/ ",5,svetlozelena
1248 cm3,75 KS (55 KW),292000,,Euro 4,Prednji,manuelni,4/5,5,Leva,Manuelna klima,unutrašnjosti crna,Hečbek,2.499 EUR,2007.,https://www.mojauto.rs/polovni-automobili/3239171_Fiat_Grande_Punto_2007_god/?cena=low,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Child lock', 'ABS', 'ESP', 'ASR', 'Alarm', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Tonirana stakla', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'Radio', 'HiFi muzika', 'Putni računar']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'Jul 2025', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da', 'Garažiran': 'Da', 'Servisna knjižica': 'Da'}","Fiat Grande Punto 1,3MJT/DIZEL/PRVABOJA/VLASNIK/ ",,
1896 cm3,105 KS (77 KW),220000,,Euro 4,Prednji,manuelni,4/5,5,Leva,Automatska klima,siva,limuzina,4.499 EUR,2005.,https://www.mojauto.rs/polovni-automobili/3239873_VW_Passat_2005_god/?cena=low,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Alarm', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Kuka za vuču', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Tonirana stakla', 'Maglenke', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'Električno podesiva sedišta', 'Radio', 'HiFi muzika', 'Putni računar']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'April 2025', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da', 'Garažiran': 'Da', 'Servisna knjižica': 'Da'}","VW Passat 1,9TDI/DIZEL/PRVABOJA/VLASNIK/ ",5,crna
1999 cm3,155 KS (114 KW),180000,,Euro 5,Prednji,manuelni,4/5,5,Leva,Automatska klima,siva,karavan,3.060 EUR,2011.,https://www.mojauto.rs/polovni-automobili/3238132_Mazda_6__2011_god/?cena=low,"['Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Tonirana stakla', 'Maglenke', 'Senzori za svetla', 'Senzori za kišu', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'Grejači sedišta', 'DVD plejer', 'Radio', 'HiFi muzika', 'CD šaržer', 'Alu felne', 'Led svetla', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Da', 'Servisna knjižica': 'Da'}",Mazda 6  ,6,crna
1598 cm3,120 KS (88 KW),148400,,Euro 4,Prednji,manuelni,4/5,5,Leva,Automatska klima,siva,limuzina,3.050 EUR,2010.,https://www.mojauto.rs/polovni-automobili/3238128_Citroen_C4_2010_god/?cena=low,"['Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Servo', 'Multi volan', 'Tempomat', 'Koža', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Tonirana stakla', 'Maglenke', 'Senzori za svetla', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'Grejači sedišta', 'DVD plejer', 'Radio', 'HiFi muzika', 'CD šaržer', 'Alu felne', 'Putni računar', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Da', 'Servisna knjižica': 'Da'}",Citroen C4 Berline ,5,siva
